instrument,stock_name,score,T_peak,peak_close,pre_peak_surge,bear_weeks,drawdown_ratio,trough_date,trough_close,drawdown_in_range,bear_duration_ok,base_start,base_end,base_weeks,vol_med_base,base_formed,trigger_week,trigger_recency_days,close_vs_ma120,close_vs_ma250,vr,launch_ma,launch_volume_vr,launch_volume_base,pre_trigger_big_days,quiet_pre_trigger,current_close_vs_ma20w,current_close_vs_ma120w,recent_3m_big_days,post_trigger_ret_pct,post_trigger_big_days,merge_sources,rank_4a,score_4a,rank_4b,score_4b,detail_4b,mode,date_start,close_start,date_end,close_end,ret
600663.SH,陆家嘴,62,2019-04-04,14.01,False,141,0.4348,2024-01-19,7.918910829297648,True,True,,,,,False,2024-05-10,14,1.0039,,1.2742,True,True,False,2.0,True,1.145,1.0433,0,3.65,0.0,['4A'],106.0,62.0,,,,,2024-05-24,9.881756381786525,2024-08-23,8.08400359370755,-18.19
603660.SH,苏州科达,62,2019-03-15,18.52,False,80,0.7478,2022-09-30,4.67,True,True,2023-05-26,2023-12-01,27.0,37323994.0,True,2023-12-08,168,1.1101,,1.0462,True,True,False,1.0,True,0.8278,0.9051,4,-27.4,11.0,['4A'],89.0,62.0,,,,,2024-05-24,5.830229321095854,2024-08-23,4.750152784172256,-18.53
002097.SZ,山河智能,73,2022-01-07,9.36,False,105,0.3945,2024-02-09,5.667043841622992,True,True,,,,,False,2024-03-01,84,1.0488,,2.9448,True,True,False,2.0,True,0.9323,0.993,4,-1.91,4.0,['4A'],44.0,73.0,,,,,2024-05-24,6.616464498051101,2024-08-23,5.386377165222509,-18.59
000958.SZ,电投产融,62,2019-04-19,9.07,False,140,0.6071,2024-01-19,3.563727994183257,True,True,,,,,False,2024-05-24,0,1.0364,,1.1039,True,True,False,2.0,True,1.1348,1.0364,1,0.0,0.0,['4A'],112.0,62.0,,,,,2024-05-24,4.322538329113211,2024-08-23,3.514652760565505,-18.69
300272.SZ,开能健康,50,2022-03-18,7.51,False,96,0.4684,2024-02-09,3.992687406075016,True,True,,,,,False,2024-05-10,14,1.2543,,4.4166,True,True,False,3.0,False,1.1012,1.0379,3,-16.83,0.0,['4A'],155.0,50.0,,,,,2024-05-24,5.523981322518296,2024-08-23,4.4917537820703695,-18.69
002438.SZ,江苏神通,65,2022-01-07,18.95,True,104,0.5486,2024-02-02,8.554757613691311,True,True,,,,,False,2024-05-03,21,1.0676,,1.1687,True,True,False,0.0,True,1.1489,1.0576,1,0.23,1.0,['4A'],76.0,65.0,,,,,2024-05-24,12.778486287269804,2024-08-23,10.373520356614062,-18.82
000751.SZ,锌业股份,66,2022-03-04,4.04,False,97,0.3582,2024-02-02,2.592911325062875,True,True,,,,,False,2024-04-05,49,1.0126,,1.8922,True,True,False,0.0,True,0.9881,0.9136,1,-9.54,0.0,['4A'],64.0,66.0,,,,,2024-05-24,2.998888497321672,2024-08-23,2.4247082016324404,-19.15
300453.SZ,三鑫医疗,65,2022-01-14,9.55,True,103,0.4552,2024-02-02,5.202825761095761,True,True,,,,,False,2024-03-29,56,1.0378,,2.2242,True,True,False,1.0,True,1.0662,1.0321,0,3.89,0.0,['4A'],69.0,65.0,,,,,2024-05-24,7.049173566785824,2024-08-23,5.681091554484764,-19.41
002705.SZ,新宝股份,64,2022-01-07,26.97,True,104,0.5908,2024-02-02,11.03515987292249,True,True,,,,,False,2024-04-05,49,1.0397,,1.0821,True,True,False,1.0,True,1.0322,0.9201,0,-10.57,0.0,['4A'],83.0,64.0,,,,,2024-05-24,15.08727167342498,2024-08-23,12.141733196820974,-19.52
002392.SZ,北京利尔,76,2022-01-07,4.82,False,105,0.3825,2024-02-09,2.9765120911818572,True,True,,,,,False,2024-04-26,28,1.006,,1.7136,True,True,False,0.0,True,1.0486,0.9913,0,-1.33,0.0,['4A'],33.0,76.0,,,,,2024-05-24,3.6325766023281956,2024-08-23,2.9165343229335985,-19.71
002237.SZ,恒邦股份,62,2019-07-05,18.86,False,131,0.54,2024-02-02,8.675216610937804,True,True,,,,,False,2024-03-29,56,1.0385,,1.6133,True,True,False,0.0,True,1.1406,1.159,0,11.37,0.0,"['4A', '4B']",91.0,62.0,26.0,47.0,"{'instrument': '002237.SZ', 'stock_name': '恒邦股份', 'score': 47, 'mode': '4B_fresh_breakout', 'current_close_vs_ma20w': 1.1406, 'current_close_vs_ma120w': 1.159, 'recent_3m_big_days': 0, 'post_trigger_ret_pct': 11.37, 'trigger_recency_days': 56, 'trigger_week': '2024-03-29', 'vr': 1.6133, 'launch_ma': True, 'drawdown_ratio': 0.54, 'bear_weeks': 131, 'trough_date': '2024-02-02', 'pre_peak_surge': False}",,2024-05-24,12.348481177966553,2024-08-23,9.897918604795096,-19.85
000533.SZ,顺钠股份,83,2022-07-22,4.92,False,78,0.4085,2024-02-09,2.9101005492892305,True,True,,,,,False,2024-03-22,63,1.0172,,1.0162,True,True,False,0.0,True,0.9892,0.9546,0,-4.25,0.0,['4A'],16.0,83.0,,,,,2024-05-24,3.830082108021914,2024-08-23,3.070001051312581,-19.85
603321.SH,梅轮电梯,76,2019-10-11,8.57,False,118,0.4181,2024-02-09,4.986819074161826,True,True,,,,,False,2024-04-12,42,1.018,,1.21,True,True,False,1.0,True,1.0473,1.0466,1,2.46,1.0,['4A'],32.0,76.0,,,,,2024-05-24,7.128097394704442,2024-08-23,5.701765640230732,-20.01
601113.SH,华鼎股份,52,2019-03-15,10.39,False,147,0.7093,2024-02-02,3.019909014752511,True,True,,,,,False,2024-05-17,7,1.0113,,2.1974,True,True,False,4.0,False,1.0608,0.966,2,-4.42,0.0,['4A'],147.0,52.0,,,,,2024-05-24,3.6799235475449477,2024-08-23,2.9400647369844926,-20.11
300444.SZ,双杰电气,73,2019-04-19,10.21,False,86,0.5808,2022-12-23,4.28,True,True,2022-12-23,2023-05-12,20.0,46654233.0,True,2023-05-19,371,1.3199,,5.6398,True,True,True,4.0,False,1.1299,1.1973,0,-10.98,3.0,['4A'],43.0,73.0,,,,,2024-05-24,7.049996437579321,2024-08-23,5.629919021944147,-20.14
603558.SH,健盛集团,39,,,False,26,0.4422,2022-10-28,,,,,,,,,2024-02-09,105,,,1.6783,True,,,,,1.0726,1.1997,0,15.88,,['4B'],,,29.0,39.0,,4B_fresh_breakout,2024-05-24,10.107451950442536,2024-08-23,8.060220986007607,-20.25
002035.SZ,华帝股份,97,,,False,55,0.7029,2022-04-29,,,,,,,,,2024-04-12,42,,,1.6097,True,,,,,1.2482,1.3274,2,24.34,,['4B'],,,2.0,97.0,,4B_fresh_breakout,2024-05-24,7.337660945180368,2024-08-23,5.821611297192593,-20.66
300791.SZ,仙乐健康,59,,,False,14,0.5278,2022-04-29,,,,,,,,,2024-02-09,105,,,0.843,True,,,,,1.1343,1.2631,0,28.64,,['4B'],,,20.0,59.0,,4B_fresh_breakout,2024-05-24,22.34847965095231,2024-08-23,17.72594895669727,-20.68
301008.SZ,宏昌科技,48,2022-01-07,24.39,False,105,0.4972,2024-02-09,12.263991743453388,True,True,,,,,False,2024-05-24,0,1.0912,,2.0485,True,True,False,2.0,True,1.1739,1.0912,1,0.0,0.0,['4A'],162.0,48.0,,,,,2024-05-24,20.40047777473067,2024-08-23,16.14033650363738,-20.88
300722.SZ,新余国科,44,2022-02-25,25.59,True,98,0.3896,2024-02-02,15.620824334316332,True,True,,,,,False,2024-05-24,0,1.1953,,5.151,True,True,False,3.0,False,1.3079,1.1953,3,0.0,0.0,['4A'],174.0,44.0,,,,,2024-05-24,24.1189680888363,2024-08-23,19.041448784925148,-21.05
600796.SH,钱江生化,59,2019-04-12,6.32,False,144,0.3542,2024-02-09,4.081432014468839,True,True,,,,,False,2024-05-10,14,1.0094,,4.1137,True,True,False,3.0,False,1.0009,0.9314,3,-7.78,0.0,['4A'],124.0,59.0,,,,,2024-05-24,4.921345525305504,2024-08-23,3.880255125645686,-21.15
603515.SH,欧普照明,63,2019-03-29,34.33,False,81,0.6304,2022-10-28,12.69,True,True,2022-12-09,2023-05-05,21.0,8797175.0,True,2023-09-01,266,1.038,,2.5595,True,True,True,2.0,True,1.1662,1.1327,0,-6.99,0.0,['4A'],86.0,63.0,,,,,2024-05-24,17.89447235070071,2024-08-23,14.088013147420437,-21.27
000683.SZ,博源化工,51,2022-06-10,9.69,True,83,0.5321,2024-02-02,4.533728126915578,True,True,,,,,False,2024-05-10,14,1.0163,,1.5964,True,True,False,1.0,True,1.2271,0.9939,0,-0.9,0.0,['4A'],151.0,51.0,,,,,2024-05-24,7.0131342172155895,2024-08-23,5.519260783115064,-21.3
002716.SZ,湖南白银,30,2019-03-22,8.3,False,145,0.7265,2024-02-02,2.270106863596957,True,True,,,,,False,2024-03-15,70,1.1019,,3.9712,True,True,False,2.0,True,1.2203,1.2581,5,17.3,3.0,"['4A', '4B']",188.0,30.0,6.0,97.0,"{'instrument': '002716.SZ', 'stock_name': '湖南白银', 'score': 97, 'mode': '4B_fresh_breakout', 'current_close_vs_ma20w': 1.2203, 'current_close_vs_ma120w': 1.2581, 'recent_3m_big_days': 5, 'post_trigger_ret_pct': 17.3, 'trigger_recency_days': 70, 'trigger_week': '2024-03-15', 'vr': 3.9712, 'launch_ma': True, 'drawdown_ratio': 0.7265, 'bear_weeks': 145, 'trough_date': '2024-02-02', 'pre_peak_surge': False}",,2024-05-24,3.7299666508644904,2024-08-23,2.929939379184759,-21.45
000599.SZ,青岛双星,35,2019-04-04,6.05,False,145,0.5008,2024-02-09,3.019964677448741,True,True,,,,,False,2024-03-15,70,1.0039,,1.1557,True,True,False,0.0,True,,,1,-2.13,1.0,['4A'],184.0,35.0,,,,,2024-05-24,4.13003882636303,2024-08-23,3.2400620693411555,-21.55
002171.SZ,楚江新材,71,2022-01-07,11.31,True,104,0.4884,2024-02-02,5.786384401218956,True,True,,,,,False,2024-03-22,63,1.0809,,2.712,True,True,False,0.0,True,0.9842,0.9095,1,-14.22,0.0,['4A'],53.0,71.0,,,,,2024-05-24,7.063648906364033,2024-08-23,5.538276218943229,-21.59
002884.SZ,凌霄泵业,62,,,True,40,0.4216,2022-10-28,,,,,,,,,2024-02-09,105,,,1.3928,True,,,,,1.092,1.2209,0,16.93,,['4B'],,,17.0,62.0,,4B_fresh_breakout,2024-05-24,19.137221277050866,2024-08-23,14.987934529456652,-21.68
002019.SZ,亿帆医药,62,2022-01-14,20.73,False,103,0.5252,2024-02-02,9.842934397431229,True,True,,,,,False,2024-05-10,14,1.0171,,1.5886,True,True,False,1.0,True,1.0874,0.9929,0,-2.67,0.0,['4A'],101.0,62.0,,,,,2024-05-24,13.271226658383526,2024-08-23,10.363542260347279,-21.91
601233.SH,桐昆股份,65,2022-02-18,22.78,True,99,0.5089,2024-02-02,11.186200127198314,True,True,,,,,False,2024-05-10,14,1.0298,,2.5795,True,True,False,2.0,True,1.1208,1.04,1,1.17,0.0,['4A'],81.0,65.0,,,,,2024-05-24,15.346264653674876,2024-08-23,11.939578045781102,-22.2
001207.SZ,联科科技,62,2022-01-14,20.14,False,104,0.4684,2024-02-09,10.705569242098925,True,True,,,,,False,2024-05-24,0,1.0658,,0.7315,True,False,False,2.0,True,1.131,1.0658,0,0.0,0.0,['4A'],113.0,62.0,,,,,2024-05-24,16.088524349361084,2024-08-23,12.473469673010019,-22.47
600675.SH,中华企业,92,2019-03-15,5.19,False,83,0.5337,2022-10-28,2.42,True,True,2022-12-23,2023-05-26,22.0,68900632.0,True,2023-07-28,301,1.0477,,3.7807,True,True,True,1.0,True,1.0441,1.0307,1,-13.01,8.0,['4A'],2.0,92.0,,,,,2024-05-24,3.1732494335151484,2024-08-23,2.4599889840611597,-22.48
603693.SH,江苏新能,44,2022-02-25,19.03,True,98,0.5286,2024-02-02,8.970553862782968,True,True,,,,,False,2024-05-17,7,1.0623,,6.6079,True,True,False,3.0,False,1.2228,1.0256,2,-3.07,0.0,['4A'],171.0,44.0,,,,,2024-05-24,12.943147672097849,2024-08-23,10.014130163184797,-22.63
603861.SH,白云电器,55,2019-01-11,13.66,False,107,0.4895,2024-02-09,6.973604222696095,True,True,,,,,False,2024-05-24,0,1.0193,,2.5425,True,True,False,3.0,False,1.0964,1.0193,2,0.0,0.0,['4A'],142.0,55.0,,,,,2024-05-24,9.109212634055616,2024-08-23,7.02268802399794,-22.91
601969.SH,海南矿业,65,2022-03-04,11.28,True,97,0.5368,2024-02-02,5.225325872821863,True,True,,,,,False,2024-04-19,35,1.0121,,2.1613,True,True,False,0.0,True,1.0767,0.9563,0,-4.61,0.0,['4A'],73.0,65.0,,,,,2024-05-24,6.9269695487498835,2024-08-23,5.324864917931858,-23.13
600866.SH,星湖科技,29,2022-03-25,7.71,True,94,0.5571,2024-02-02,3.4144900849422304,True,True,,,,,False,2024-05-03,21,1.0112,,2.2632,True,True,False,1.0,True,1.4168,1.2136,4,21.73,2.0,['4A'],190.0,29.0,,,,,2024-05-24,6.142497642407099,2024-08-23,4.702841184818488,-23.44
301019.SZ,宁波色母,62,2022-01-14,18.42,False,104,0.412,2024-02-09,10.83117445256904,True,True,,,,,False,2024-05-24,0,1.0742,,2.8488,True,True,False,2.0,True,1.1405,1.0742,1,0.0,0.0,['4A'],115.0,62.0,,,,,2024-05-24,15.450173139560308,2024-08-23,11.808253641288216,-23.57
600649.SH,城投控股,41,2019-04-04,8.16,False,154,0.6059,2024-04-19,3.216029336938126,True,True,,,,,False,2024-05-17,7,1.109,,3.7321,True,True,False,0.0,True,1.18,1.0838,2,-2.5,1.0,['4A'],178.0,41.0,,,,,2024-05-24,4.180831924310623,2024-08-23,3.191671597886795,-23.66
300215.SZ,电科院,41,2022-01-07,9.49,False,105,0.6501,2024-02-09,3.3201107060744413,True,True,,,,,False,2024-05-24,0,1.0203,,4.3664,True,True,False,2.0,True,1.3269,1.0203,3,0.0,0.0,['4A'],180.0,41.0,,,,,2024-05-24,5.85493354982554,2024-08-23,4.459974528394197,-23.83
300397.SZ,天和防务,44,2020-01-03,16.35,True,106,0.6141,2024-02-09,6.309949558879845,True,True,,,,,False,2024-04-26,28,1.002,,2.9764,True,True,False,2.0,True,1.1978,1.0105,3,-0.46,1.0,['4A'],169.0,44.0,,,,,2024-05-24,10.829877867947074,2024-08-23,8.219914974766255,-24.1
003013.SZ,地铁设计,62,2022-02-18,19.87,False,108,0.3112,2024-04-12,13.686389286001372,True,True,,,,,False,2024-05-24,0,1.0105,,1.8601,True,True,False,1.0,True,1.0589,1.0105,1,0.0,0.0,['4A'],114.0,62.0,,,,,2024-05-24,15.987663576148545,2024-08-23,12.107457019935019,-24.27
600805.SH,悦达投资,76,2019-04-19,7.07,False,143,0.5011,2024-02-09,3.5269335377155646,True,True,,,,,False,2024-05-10,14,1.0068,,1.3453,True,True,False,4.0,False,1.0153,0.9754,1,-3.29,0.0,['4A'],38.0,76.0,,,,,2024-05-24,4.344620480438306,2024-08-23,3.280669495300573,-24.49
603505.SH,金石资源,62,,,True,63,0.3907,2024-02-02,,,,,,,,,2024-02-09,105,,,1.33,True,,,,,1.0828,1.2455,0,21.16,,['4B'],,,18.0,62.0,,4B_fresh_breakout,2024-05-24,22.143551741064517,2024-08-23,16.614431957273602,-24.97
002688.SZ,金河生物,48,2022-01-07,5.93,False,105,0.4688,2024-02-09,3.1502862762498256,True,True,,,,,False,2024-05-17,7,1.0304,,1.6543,True,True,False,0.0,True,1.1886,1.0012,0,-3.0,0.0,['4A'],161.0,48.0,,,,,2024-05-24,4.672557139212623,2024-08-23,3.5042166661478156,-25.0
000822.SZ,山东海化,69,2022-06-10,10.0,True,83,0.4531,2024-02-02,5.469315835093158,True,True,,,,,False,2024-04-12,42,1.0012,,1.8056,True,True,False,0.0,True,1.0237,0.9108,0,-7.27,0.0,['4A'],59.0,69.0,,,,,2024-05-24,6.679937438518515,2024-08-23,4.989928807798654,-25.3
603368.SH,柳药集团,37,,,False,32,0.464,2022-04-22,,,,,,,,,2024-03-01,84,,,1.7067,True,,,,,1.0798,1.1512,0,8.27,,['4B'],,,32.0,37.0,,4B_fresh_breakout,2024-05-24,20.56100907661914,2024-08-23,15.27792861466301,-25.69
000993.SZ,闽东电力,65,2022-05-20,14.19,True,87,0.4339,2024-02-09,8.032998245988582,True,True,,,,,False,2024-05-10,14,1.0175,,1.5766,True,True,False,4.0,False,1.0796,0.9625,1,-4.93,0.0,['4A'],79.0,65.0,,,,,2024-05-24,10.35008489786089,2024-08-23,7.629839182113148,-26.28
002897.SZ,意华股份,44,2022-08-19,76.64,True,83,0.6104,2024-04-19,29.85817809910045,True,True,,,,,False,2024-05-24,0,1.0863,,2.1492,True,True,False,2.0,True,1.3367,1.0863,2,0.0,0.0,['4A'],172.0,44.0,,,,,2024-05-24,46.871612428643985,2024-08-23,34.507662071997174,-26.38
300732.SZ,设研院,41,2019-03-22,15.38,False,147,0.5845,2024-02-09,6.39034902305065,True,True,,,,,False,2024-05-17,7,1.0363,,3.6054,True,True,False,3.0,False,1.1783,0.9608,3,-7.27,0.0,['4A'],177.0,41.0,,,,,2024-05-24,9.060068723654258,2024-08-23,6.609972317841141,-27.04
300040.SZ,九洲集团,44,2022-02-25,8.61,True,99,0.5727,2024-02-09,3.67916195444329,True,True,,,,,False,2024-05-24,0,1.0611,,4.347,True,True,False,2.0,True,1.3708,1.0611,2,0.0,0.0,['4A'],173.0,44.0,,,,,2024-05-24,6.49707558381575,2024-08-23,4.738759334958245,-27.06
002563.SZ,森马服饰,47,,,False,51,0.6608,2022-10-28,,,,,,,,,2024-04-12,42,,,1.1215,True,,,,,1.1287,1.1687,0,11.7,,['4B'],,,25.0,47.0,,4B_fresh_breakout,2024-05-24,5.857551832951568,2024-08-23,4.2716416128338865,-27.07
300621.SZ,维业股份,62,2019-08-30,12.47,False,124,0.4776,2024-02-09,6.51406001401158,True,True,,,,,False,2024-05-17,7,1.0265,,2.5332,True,True,False,3.0,False,1.084,1.0238,1,-0.31,0.0,['4A'],110.0,62.0,,,,,2024-05-24,9.676476733905782,2024-08-23,7.051930070878831,-27.12
300067.SZ,安诺其,49,2019-04-04,5.6,False,145,0.5937,2024-02-09,2.275403424491093,True,True,,,,,False,2024-02-23,91,1.2916,,9.2946,True,True,False,4.0,False,1.0583,1.2655,5,-0.23,5.0,['4A'],157.0,49.0,,,,,2024-05-24,4.303406858890991,2024-08-23,3.1342969447783977,-27.17
000552.SZ,甘肃能化,65,2022-06-10,4.62,True,83,0.4277,2024-02-02,2.6441651927168603,True,True,,,,,False,2024-04-19,35,1.0518,,3.9982,True,True,False,0.0,True,1.1197,1.0491,0,1.71,0.0,['4A'],72.0,65.0,,,,,2024-05-24,3.3618127065315906,2024-08-23,2.4224139558003297,-27.94
300187.SZ,永清环保,62,2022-03-11,8.09,False,97,0.498,2024-02-09,4.061311361248643,True,True,,,,,False,2024-04-05,49,1.0071,,1.6074,True,True,False,2.0,True,1.0753,0.9531,1,-3.82,0.0,['4A'],92.0,62.0,,,,,2024-05-24,5.53297466702813,2024-08-23,3.986435699416132,-27.95
300991.SZ,创益通,25,2022-01-14,21.48,False,104,0.5618,2024-02-09,9.413103551838976,True,True,,,,,False,2024-05-24,0,1.3931,,3.3231,True,True,False,3.0,False,1.417,1.3931,4,0.0,0.0,['4A'],192.0,25.0,,,,,2024-05-24,21.000297994901832,2024-08-23,15.120704216439956,-28.0
002739.SZ,万达电影,83,2019-04-19,26.01,False,78,0.6282,2022-10-28,9.67,True,True,2023-07-07,2023-12-15,23.0,111338898.0,True,2024-03-15,70,1.0558,,1.5547,True,True,True,0.0,True,1.0051,1.046,0,-1.66,0.0,['4A'],14.0,83.0,,,,,2024-05-24,13.619866160588938,2024-08-23,9.71014947255435,-28.71
002802.SZ,洪汇新材,55,2022-03-11,15.1,False,97,0.5407,2024-02-09,6.935259384315613,True,True,,,,,False,2024-05-17,7,1.0262,,3.2909,True,True,False,2.0,True,1.116,0.9725,2,-5.19,0.0,['4A'],138.0,55.0,,,,,2024-05-24,10.603176008145097,2024-08-23,7.550982460479426,-28.79
002255.SZ,海陆重工,69,2022-01-07,6.49,False,104,0.3659,2024-02-02,4.115249983729699,True,True,,,,,False,2024-03-22,63,1.014,,1.0866,True,True,False,2.0,True,1.1219,1.0899,0,11.17,0.0,['4A'],57.0,69.0,,,,,2024-05-24,5.834998843868222,2024-08-23,4.145139945842785,-28.96
603579.SH,荣泰健康,41,2019-03-29,27.52,False,145,0.5555,2024-02-02,12.232607951090998,True,True,,,,,False,2024-04-26,28,1.0275,,2.6592,True,True,False,2.0,True,1.1653,1.0887,2,5.36,0.0,['4A'],176.0,41.0,,,,,2024-05-24,17.292944198498418,2024-08-23,12.160680613179066,-29.68
603727.SH,博迈科,62,2019-07-26,19.92,False,79,0.4894,2024-02-02,10.171916783144741,True,True,,,,,False,2024-05-03,21,1.1254,,0.8424,True,False,False,1.0,True,1.1201,1.0733,0,-4.0,0.0,['4A'],100.0,62.0,,,,,2024-05-24,14.37699603980424,2024-08-23,10.085139567186163,-29.85
000555.SZ,神州信息,63,2022-02-11,15.54,False,100,0.4769,2024-02-02,8.128896857572279,True,True,,,,,False,2024-03-22,63,1.0624,,3.4644,True,True,False,1.0,True,1.0964,1.0212,2,-4.39,2.0,['4A'],87.0,63.0,,,,,2024-05-24,11.939140291354223,2024-08-23,8.270156811479314,-30.73
000899.SZ,赣能股份,100,,,True,77,0.5949,2024-02-02,,,,,,,,,2024-04-05,49,,,0.6577,True,,,,,1.3137,1.3667,3,41.05,,['4B'],,,1.0,100.0,,4B_fresh_breakout,2024-05-24,10.776244118368377,2024-08-23,7.404432712284701,-31.29
000514.SZ,渝 开 发,41,2022-04-15,7.43,False,92,0.6217,2024-02-09,2.810910820617102,True,True,,,,,False,2024-05-24,0,1.0562,,3.3776,True,True,False,3.0,False,1.2675,1.0562,3,0.0,0.0,['4A'],179.0,41.0,,,,,2024-05-24,4.5154976551975015,2024-08-23,3.090085116318985,-31.57
002343.SZ,慈文传媒,74,2020-01-03,12.11,False,106,0.6515,2024-02-09,4.219995677674894,True,True,,,,,False,2024-03-01,84,1.016,,1.8933,True,True,False,1.0,True,0.9782,1.0713,6,3.47,6.0,['4A'],41.0,74.0,,,,,2024-05-24,6.870065502204412,2024-08-23,4.670107725900617,-32.02
600490.SH,鹏欣资源,54,2019-04-19,6.38,False,142,0.6395,2024-02-02,2.2999745089645014,True,True,,,,,False,2024-04-12,42,1.0285,,4.4169,True,True,False,2.0,True,1.0424,0.9092,2,-12.43,0.0,['4A'],144.0,54.0,,,,,2024-05-24,3.1699725743409606,2024-08-23,2.1200042514108737,-33.12
600094.SH,大名城,13,2019-04-19,9.44,False,143,0.7146,2024-02-09,2.6938659306955457,True,True,,,,,False,2024-04-12,42,1.1126,,3.3053,True,True,False,2.0,True,1.3979,1.4027,4,22.66,2.0,"['4A', '4B']",193.0,13.0,3.0,97.0,"{'instrument': '600094.SH', 'stock_name': '大名城', 'score': 97, 'mode': '4B_fresh_breakout', 'current_close_vs_ma20w': 1.3979, 'current_close_vs_ma120w': 1.4027, 'recent_3m_big_days': 4, 'post_trigger_ret_pct': 22.66, 'trigger_recency_days': 42, 'trigger_week': '2024-04-12', 'vr': 3.3053, 'launch_ma': True, 'drawdown_ratio': 0.7146, 'bear_weeks': 143, 'trough_date': '2024-02-09', 'pre_peak_surge': False}",,2024-05-24,4.664934745096396,2024-08-23,3.119780690918924,-33.12
600538.SH,国发股份,83,2022-01-14,6.17,False,104,0.4052,2024-02-09,3.6699528012721494,True,True,,,,,False,2024-03-22,63,1.004,,0.8018,True,False,False,0.0,True,0.9974,0.9669,0,-3.54,0.0,['4A'],17.0,83.0,,,,,2024-05-24,4.620136000681899,2024-08-23,3.059862495640207,-33.77
603518.SH,锦泓集团,87,2019-04-04,12.32,False,80,0.5593,2022-10-28,5.43,True,True,2023-08-18,2024-01-05,20.0,23351460.0,True,2024-01-12,133,1.2146,,1.4687,True,True,True,1.0,True,1.0045,1.1143,0,-3.5,1.0,['4A'],8.0,87.0,,,,,2024-05-24,9.240418298778371,2024-08-23,6.046748764349814,-34.56
002021.SZ,中捷资源,38,2019-03-22,2.86,False,111,0.5895,2023-05-26,1.173953334704138,True,True,,,,,False,2023-06-16,343,1.0022,,0.9462,True,False,False,0.0,True,1.2726,1.4941,0,54.29,0.0,['4A'],181.0,38.0,,,,,2024-05-24,2.459966243173999,2024-08-23,1.580039990096692,-35.77
002225.SZ,濮耐股份,31,2019-04-04,5.56,False,145,0.487,2024-02-09,2.852212668231073,True,True,,,,,False,2024-05-10,14,1.139,,4.7804,True,True,False,2.0,True,1.375,1.2615,2,11.13,1.0,['4A'],187.0,31.0,,,,,2024-05-24,4.857729497833916,2024-08-23,3.095199343813731,-36.28
600543.SH,莫高股份,55,2019-04-04,8.36,False,145,0.4916,2024-02-09,4.249833829833675,True,True,,,,,False,2024-03-15,70,1.0112,,0.9495,True,False,False,0.0,True,1.1702,1.1286,0,11.51,0.0,['4A'],131.0,55.0,,,,,2024-05-24,6.489983970611957,2024-08-23,4.070086227521634,-37.29
301188.SZ,力诺药包,62,2022-01-14,25.3,False,88,0.5273,2023-10-20,11.960375671822375,True,True,,,,,False,2024-05-24,0,1.0655,,0.8491,True,False,False,2.0,True,1.0581,1.0655,1,0.0,0.0,['4A'],116.0,62.0,,,,,2024-05-24,17.549941699211637,2024-08-23,10.895834555033657,-37.92
600589.SH,大位科技,63,2019-03-08,5.21,False,114,0.7447,2023-06-02,1.329958581641727,True,True,,,,,False,2023-08-25,273,1.0731,,1.0675,True,True,False,0.0,True,0.9934,1.6165,0,47.31,0.0,['4A'],85.0,63.0,,,,,2024-05-24,3.9300627928407645,2024-08-23,2.3799258829378274,-39.44
